Voltage,Current,State
1.5889945030212402,3.0,0
1.5754523277282715,3.0,0
1.5594778060913086,3.0,0
1.5436944961547852,3.0,0
1.527482032775879,3.0,0
1.5116033554077148,3.0,0
1.497298240661621,3.0,0
1.4839468002319336,3.0,0
1.4722166061401367,3.0,0
1.462489128112793,3.0,0
1.4509496688842773,3.0,0
1.4376459121704102,3.0,0
1.4238648414611816,3.0,0
1.4092259407043457,3.0,0
1.3946824073791504,3.0,0
1.38090181350708,3.0,0
1.36564302444458,3.0,0
1.3516716957092285,3.0,0
1.3422303199768066,3.0,0
1.33359956741333,3.0,0
1.326256275177002,3.0,0
1.316481113433838,3.0,0
1.3041305541992188,3.0,0
1.2912559509277344,3.0,0
1.274566650390625,3.0,0
1.2575912475585938,3.0,0
1.2363243103027344,3.0,0
1.2131977081298828,3.0,0
1.1856837272644043,3.0,0
1.1532111167907715,3.0,0
1.1050505638122559,3.0,0
1.038722038269043,3.0,0
0.9530820846557617,3.0,0
0.8427414894104004,3.0,0
0.6999282836914062,3.0,0
0.5195398330688477,3.0,0
0.2985725402832031,3.0,0
0.02448558807373047,3.0,2
-0.29676055908203125,3.0,0
-0.6593966484069824,3.0,0
-1.06294584274292,3.0,0
-1.486617088317871,3.0,0
-1.9049477577209473,3.0,0
-2.294525384902954,3.0,0
-2.6439528465270996,3.0,0
-2.9332988262176514,3.0,0
-3.1509757041931152,3.0,0
-3.304517984390259,3.0,0
-3.3911118507385254,3.0,0
-3.4207236766815186,3.0,0
-3.4068477153778076,3.0,0
-3.3567795753479004,3.0,0
-3.284395456314087,3.0,0
-3.193986654281616,3.0,0
-3.0980944633483887,3.0,0
-2.999722480773926,3.0,0
-2.900635242462158,3.0,0
-2.8062212467193604,3.0,0
-2.7173383235931396,3.0,0
-2.6354174613952637,3.0,0
-2.5575973987579346,3.0,0
-2.4884557723999023,3.0,0
-2.4248454570770264,3.0,0
-2.366337299346924,3.0,0
-2.3154585361480713,3.0,0
-2.2706356048583984,3.0,0
-2.2314395904541016,3.0,0
-2.1973934173583984,3.0,0
-2.1702609062194824,3.0,0
-2.1485648155212402,3.0,0
-2.130492687225342,3.0,0
-2.1176657676696777,3.0,0
-2.110227108001709,3.0,0
